seed,pr_auc,roc_auc,top3_rows,precision_at_top3,top3_avg_future_return_1m,top3_avg_future_return_2m,top3_avg_future_return_3m,top3_avg_future_max_return_1_3m,top3_hit30_rate,top3_hit40_rate,top3_hit50_rate,top3_hit100_rate,monthly_any_top3_hit30_rate,monthly_any_top3_hit50_rate,monthly_any_top3_hit100_rate,top5_rows,precision_at_top5,top5_avg_future_return_1m,top5_avg_future_return_2m,top5_avg_future_return_3m,top5_avg_future_max_return_1_3m,top5_hit30_rate,top5_hit40_rate,top5_hit50_rate,top5_hit100_rate,monthly_any_top5_hit30_rate,monthly_any_top5_hit50_rate,monthly_any_top5_hit100_rate,top10_rows,precision_at_top10,top10_avg_future_return_1m,top10_avg_future_return_2m,top10_avg_future_return_3m,top10_avg_future_max_return_1_3m,top10_hit30_rate,top10_hit40_rate,top10_hit50_rate,top10_hit100_rate,monthly_any_top10_hit30_rate,monthly_any_top10_hit50_rate,monthly_any_top10_hit100_rate
7,0.2879505944253369,0.8497020079129148,99,0.48484848484848486,0.18681865604910622,0.4761966018770512,0.6246072794968323,0.7999468104319973,0.494949494949495,0.42424242424242425,0.3939393939393939,0.1919191919191919,0.8181818181818182,0.6666666666666666,0.48484848484848486,165,0.47878787878787876,0.19764270967748349,0.404910330557998,0.6260433621802235,0.792182060957507,0.48484848484848486,0.43636363636363634,0.4,0.19393939393939394,0.8484848484848485,0.7575757575757576,0.5151515151515151,330,0.42727272727272725,0.14450503313764274,0.30881046216424957,0.4481079496968033,0.6131263011327339,0.43333333333333335,0.39090909090909093,0.33636363636363636,0.17272727272727273,0.9090909090909091,0.7878787878787878,0.6060606060606061
42,0.2851989579003836,0.8491519976785782,99,0.45454545454545453,0.17014807620326966,0.34774849887462334,0.412487752623872,0.6105190495007107,0.45454545454545453,0.3939393939393939,0.36363636363636365,0.16161616161616163,0.7878787878787878,0.6363636363636364,0.45454545454545453,165,0.4727272727272727,0.18438561466916492,0.4090847751308937,0.5740462050124259,0.748272691665882,0.47878787878787876,0.4303030303030303,0.38181818181818183,0.17575757575757575,0.8484848484848485,0.7272727272727273,0.5151515151515151,330,0.40606060606060607,0.12929069500891527,0.27691322082392356,0.4163919449763723,0.5788225054229447,0.41818181818181815,0.37575757575757573,0.31212121212121213,0.1606060606060606,0.8787878787878788,0.7878787878787878,0.5757575757575758
202,0.28661883824947604,0.8485303989839847,99,0.43434343434343436,0.12792067766905907,0.3143090310211221,0.3556024507055558,0.537098149857021,0.4444444444444444,0.37373737373737376,0.3333333333333333,0.15151515151515152,0.8181818181818182,0.6363636363636364,0.36363636363636365,165,0.45454545454545453,0.17848200310412396,0.3870216180734367,0.459181294571338,0.6466028177530575,0.46060606060606063,0.4121212121212121,0.3575757575757576,0.19393939393939394,0.8484848484848485,0.7272727272727273,0.5757575757575758,330,0.42424242424242425,0.126029943943094,0.2767005383336266,0.4217902642147624,0.5846838583266956,0.43333333333333335,0.396969696969697,0.3333333333333333,0.15454545454545454,0.8787878787878788,0.7878787878787878,0.6363636363636364
777,0.28618456266394093,0.8486170644492254,99,0.48484848484848486,0.17088295933629863,0.40778349048311885,0.48676363695168734,0.655016423528206,0.48484848484848486,0.41414141414141414,0.36363636363636365,0.13131313131313133,0.7575757575757576,0.6363636363636364,0.3333333333333333,165,0.46060606060606063,0.15938415356281682,0.3635516109989755,0.4788802047566166,0.6339939092258342,0.4666666666666667,0.41818181818181815,0.3696969696969697,0.15757575757575756,0.8181818181818182,0.7272727272727273,0.45454545454545453,330,0.42727272727272725,0.1442293145154612,0.29769794551658146,0.4405036937673046,0.6050115045947497,0.43333333333333335,0.3878787878787879,0.3303030303030303,0.1787878787878788,0.9090909090909091,0.8181818181818182,0.6060606060606061
2026,0.2779321991537752,0.848653691738506,99,0.47474747474747475,0.17029130375035031,0.29723613401239973,0.33003780324838516,0.5019613916659872,0.47474747474747475,0.42424242424242425,0.40404040404040403,0.18181818181818182,0.8181818181818182,0.696969696969697,0.3939393939393939,165,0.44242424242424244,0.14270970983443215,0.291961133101338,0.47909694538838626,0.630026895281372,0.44242424242424244,0.4,0.3696969696969697,0.17575757575757575,0.8484848484848485,0.7575757575757576,0.48484848484848486,330,0.41818181818181815,0.12384824676946522,0.27148133850047645,0.42350079939719487,0.5836298258004671,0.42424242424242425,0.37575757575757573,0.3181818181818182,0.16363636363636364,0.9090909090909091,0.8181818181818182,0.6060606060606061
