label,positive_rows,valid_future_rows,positive_rate,months_with_positive,avg_positives_per_month,min_positives_per_month,max_positives_per_month
label_top10_1_3m,6505,64408,0.10099677058750466,127,50.8203125,0,54
label_top5_1_3m,3291,64408,0.05109613712582288,127,25.7109375,0,27
label_boom30_top10_1_3m,3348,64408,0.05198112035771954,126,26.15625,0,53
label_boom40_top10_1_3m,1913,64408,0.029701279344180848,125,14.9453125,0,53
label_boom50_top5_1_3m,1095,64408,0.01700099366538318,123,8.5546875,0,27
label_mega100_1_3m,272,64408,0.004223077878524407,71,2.125,0,22
