month,rows,tickers,future_max_return_1_3m_mean,future_max_return_1_3m_p90,future_max_return_1_3m_p95,future_max_return_1_3m_max,label_top10_1_3m_count,label_top5_1_3m_count,label_boom30_top10_1_3m_count,label_boom40_top10_1_3m_count,label_boom50_top5_1_3m_count,label_mega100_1_3m_count
2016-01-31,423,423,0.13812221247847462,0.2615284910912784,0.2927054380397165,2.2919709585288284,43,22,19,8,5,2
2016-02-29,423,423,0.1464898274390632,0.2624208023500245,0.3280631758356358,2.41666670429586,43,22,30,13,6,1
2016-03-31,423,423,0.0694267051652066,0.16803248661292738,0.20350860316941732,0.6158904140604007,43,22,7,3,1,0
2016-04-30,423,423,0.08636911084212409,0.19134315314303005,0.22622216275311924,0.7298670518090582,43,22,6,4,3,0
2016-05-31,423,423,0.08167922617170602,0.17443828410706483,0.22789960726206793,0.7015525655750403,43,22,11,5,1,0
2016-06-30,423,423,0.0908414414966593,0.2207707236538039,0.2571610637162826,0.7260330223514455,43,22,15,7,3,0
2016-07-31,424,424,0.038036505991118054,0.14543462634755114,0.19399678370096715,0.6580005487147751,43,22,6,1,1,0
2016-08-31,424,424,0.0657302700961999,0.20093650663463275,0.2759163836907202,0.8815029355804032,43,22,16,5,2,0
2016-09-30,425,425,0.06318051593098382,0.2217850464136273,0.2841386688668447,0.6356784416290817,43,22,20,8,2,0
2016-10-31,426,426,0.11680455740599979,0.24891129250808208,0.303666781075498,0.677835061048673,43,22,26,8,5,0
2016-11-30,427,427,0.09773057165475964,0.1959955239028457,0.2328138004822921,0.6541353208240068,43,22,9,5,3,0
2016-12-31,427,427,0.09667415101940155,0.2049327193326925,0.2623483884978077,0.7722772066879007,43,22,14,6,4,0
2017-01-31,427,427,0.08042679517127921,0.16232558017786403,0.2008189420197543,1.113207670240996,43,22,6,4,1,1
2017-02-28,428,428,0.05706197462460026,0.15904647778595446,0.21365682591876237,1.0740740004880958,43,22,9,2,1,1
2017-03-31,428,428,0.061899561913342886,0.15751038155880429,0.19018366158326655,0.6231884183164556,43,22,3,2,1,0
2017-04-30,429,429,0.06768287562448222,0.14630601218444647,0.1709794756002345,0.8441440585177993,43,22,7,6,1,0
2017-05-31,430,430,0.06438613998941435,0.14747160372391618,0.19312941727342217,1.0368158617390488,44,22,7,4,2,1
2017-06-30,430,430,0.06985240870786875,0.16492301697045264,0.2160596655728198,0.7471264052822595,44,22,6,3,1,0
2017-07-31,430,430,0.07398665373979924,0.18330294507509137,0.22717979062323798,0.627659548160014,44,22,9,5,1,0
2017-08-31,430,430,0.11143878043477048,0.2292766247721276,0.2928823057366883,2.1521739595215803,44,22,18,4,2,1
2017-09-30,430,430,0.09792539621156418,0.21171739186710192,0.25357586065009796,0.9078948235247617,44,22,11,1,1,0
2017-10-31,430,430,0.11727542088029455,0.2357103491970625,0.29784661943225194,0.895424934376454,44,22,20,4,2,0
2017-11-30,430,430,0.07808315994006333,0.17412024354351924,0.23053560594639144,0.4528262232702902,44,22,11,2,0,0
2017-12-31,430,430,0.06830534509955628,0.17797699193533803,0.22998883653125854,0.8962655638604142,44,22,8,5,1,0
2018-01-31,431,431,0.0004505743233205449,0.10316136290022038,0.14034085479904357,1.0772727602769514,44,22,6,3,2,1
2018-02-28,431,431,0.05389870680934103,0.15697569594216598,0.23742831330518932,0.8283088417296096,44,22,12,6,5,0
2018-03-31,431,431,0.0637270833176373,0.1750135772018946,0.2253996148729962,1.0261574927574402,44,22,12,6,4,1
2018-04-30,431,431,0.08943455156261965,0.19301276647594778,0.2421870679142044,0.9920623251332303,44,22,11,6,6,0
2018-05-31,431,431,0.09925412905811463,0.20983072074403109,0.26876941673086485,1.244020796711427,44,22,15,7,6,1
2018-06-30,431,431,0.09934679907593454,0.20997342945556663,0.26275542605825586,0.6088485521485478,44,22,14,7,4,0
2018-07-31,432,432,0.06036719399220387,0.15418163042563812,0.21976365457720826,0.789729520460849,44,22,8,7,4,0
2018-08-31,432,432,0.026652912867599205,0.10035702863393463,0.1368677948306122,0.2549717707836432,44,22,0,0,0,0
2018-09-30,432,432,-0.02673189731982779,0.08926907715925145,0.11874416953710842,0.18012372406559396,44,22,0,0,0,0
2018-10-31,432,432,0.05390996867078576,0.15141603471932302,0.17905913060235434,0.592511030798009,44,22,2,1,1,0
2018-11-30,432,432,0.0492885877319361,0.14227862523936363,0.20384485844418634,0.6796295434522712,44,22,7,2,1,0
2018-12-31,433,433,0.18745803708934067,0.3269743126658329,0.37313837681079454,0.951374102540554,44,22,44,17,6,0
2019-01-31,433,433,0.12053057288386039,0.22576736775219763,0.2717839965074382,0.9262450343634021,44,22,15,8,7,0
2019-02-28,433,433,0.0723306084175303,0.1616878591514788,0.19909154773167076,0.6725469224602816,44,22,6,4,3,0
2019-03-31,436,436,0.08320739311112342,0.19159653466231552,0.2313716252882621,0.9750813051307474,44,22,6,4,3,0
2019-04-30,436,436,0.04773531469200038,0.15219993404625365,0.20352339432309186,1.803784833215755,44,22,5,3,1,1
2019-05-31,438,438,0.1324495893194981,0.24534427160707847,0.2929835681230498,0.9558338778560096,44,22,19,7,3,0
2019-06-30,438,438,0.05353462150418471,0.14773860810234413,0.1690739224745216,0.627537071932051,44,22,3,1,1,0
2019-07-31,438,438,0.04334790664037492,0.150677177410439,0.1974989554945977,0.5429448541481652,44,22,6,1,1,0
2019-08-31,438,438,0.09945208539131663,0.23135718076014697,0.28992403857487864,0.7972350038015128,44,22,16,4,2,0
