feature,feature_group,missing_count,missing_rate,non_null_rows,non_null_rate,first_valid_month,last_valid_month,dropped,drop_reason
price_ma10_ratio,trend,8,0.00018844812965231321,42444,0.9998115518703476,2016-01-31,2026-06-30,False,
atr_14_to_price,vol_structure,8,0.00018844812965231321,42444,0.9998115518703476,2016-01-31,2026-06-30,False,
price_ma5_ratio,trend,3,7.066804861961746e-05,42449,0.9999293319513803,2016-01-31,2026-06-30,False,
qqq_mom_1m,qqq_context,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
qqq_mom_3m,qqq_context,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
qqq_mom_6m,qqq_context,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
qqq_mom_12m,qqq_context,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
source_count,etf_source,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
source_weight_sum,etf_source,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
theme_count,etf_source,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
in_core_growth,etf_source,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
in_large_cap_core,etf_source,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
in_manual_core,etf_source,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
trading_day_count_3m,liquidity_size_proxy,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
trading_day_count_6m,liquidity_size_proxy,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
liquid_vol_score,volatility_amplitude_frequency,0,0.0,42452,1.0,2016-01-31,2026-06-30,False,
