strategy,split,pr_auc,roc_auc,top3_rows,precision_at_top3,top3_avg_future_return_1m,top3_avg_future_return_2m,top3_avg_future_return_3m,top3_avg_future_max_return_1_3m,top3_hit30_rate,top3_hit40_rate,top3_hit50_rate,top3_hit100_rate,monthly_any_top3_hit30_rate,monthly_any_top3_hit50_rate,monthly_any_top3_hit100_rate,top5_rows,precision_at_top5,top5_avg_future_return_1m,top5_avg_future_return_2m,top5_avg_future_return_3m,top5_avg_future_max_return_1_3m,top5_hit30_rate,top5_hit40_rate,top5_hit50_rate,top5_hit100_rate,monthly_any_top5_hit30_rate,monthly_any_top5_hit50_rate,monthly_any_top5_hit100_rate,top10_rows,precision_at_top10,top10_avg_future_return_1m,top10_avg_future_return_2m,top10_avg_future_return_3m,top10_avg_future_max_return_1_3m,top10_hit30_rate,top10_hit40_rate,top10_hit50_rate,top10_hit100_rate,monthly_any_top10_hit30_rate,monthly_any_top10_hit50_rate,monthly_any_top10_hit100_rate
Reference-downweighted XGB main model,test,0.29512627443297784,0.8506994586008191,99,0.47474747474747475,0.15009701289166255,0.30921674903800145,0.41721770181174717,0.584958705645896,0.48484848484848486,0.41414141414141414,0.3838383838383838,0.1717171717171717,0.7878787878787878,0.6363636363636364,0.42424242424242425,165,0.45454545454545453,0.14016020583329933,0.36677340829727323,0.4863637738013627,0.649099568780555,0.46060606060606063,0.4121212121212121,0.36363636363636365,0.16363636363636364,0.8484848484848485,0.7272727272727273,0.5151515151515151,330,0.43333333333333335,0.1293326396645361,0.2801336376235945,0.4233159595625478,0.5868813424431976,0.44242424242424244,0.3878787878787879,0.3181818181818182,0.1606060606060606,0.9090909090909091,0.7878787878787878,0.5454545454545454
Baseline: 6M momentum,test,0.15981878715908662,0.5534806255880075,99,0.48484848484848486,0.09902953518630704,0.21925565504695568,0.3534277836347433,0.4628543037657929,0.494949494949495,0.4444444444444444,0.36363636363636365,0.15151515151515152,0.7878787878787878,0.6666666666666666,0.3939393939393939,165,0.4727272727272727,0.11738934546889015,0.2174537079131335,0.3206387297870503,0.4332198286199459,0.47878787878787876,0.4121212121212121,0.34545454545454546,0.13333333333333333,0.8484848484848485,0.7272727272727273,0.45454545454545453,330,0.46060606060606063,0.1069265950561831,0.2001341162956982,0.29501960757447865,0.3945431549289256,0.4696969696969697,0.39090909090909093,0.30303030303030304,0.10606060606060606,0.9393939393939394,0.7878787878787878,0.5454545454545454
Baseline: 3M momentum,test,0.15382411796678375,0.5562735257011124,99,0.43434343434343436,0.08502454759208085,0.2257157412635671,0.3807464606981938,0.4599213321965625,0.46464646464646464,0.40404040404040403,0.3434343434343434,0.16161616161616163,0.8181818181818182,0.6363636363636364,0.42424242424242425,165,0.4303030303030303,0.1048950872310324,0.19924996922313667,0.3158487633149018,0.4251750231814843,0.4484848484848485,0.3696969696969697,0.296969696969697,0.12727272727272726,0.8787878787878788,0.6666666666666666,0.5151515151515151,330,0.37272727272727274,0.0945123852284688,0.16253078296767945,0.24295883837363594,0.34904556007150245,0.38484848484848483,0.3090909090909091,0.23636363636363636,0.1,0.9393939393939394,0.7272727272727273,0.5757575757575758
Baseline: 12M momentum,test,0.17893361358814555,0.5908984883021113,99,0.494949494949495,0.0891998335128325,0.20369401050810232,0.30326186512494707,0.42320533633181223,0.494949494949495,0.41414141414141414,0.3333333333333333,0.16161616161616163,0.7878787878787878,0.5454545454545454,0.3333333333333333,165,0.48484848484848486,0.10859494060666589,0.21489007412496164,0.30181113566453294,0.41539610312984737,0.4909090909090909,0.4,0.30303030303030304,0.1393939393939394,0.8181818181818182,0.6363636363636364,0.42424242424242425,330,0.42727272727272725,0.09995164277951767,0.18696091753062336,0.264173329812281,0.3751724280786823,0.43333333333333335,0.36363636363636365,0.2787878787878788,0.11818181818181818,0.8484848484848485,0.7272727272727273,0.5151515151515151
Baseline: relative 6M vs QQQ,test,0.16990870456658314,0.5791048862551538,99,0.48484848484848486,0.09902953518630704,0.21925565504695568,0.3534277836347433,0.4628543037657929,0.494949494949495,0.4444444444444444,0.36363636363636365,0.15151515151515152,0.7878787878787878,0.6666666666666666,0.3939393939393939,165,0.4727272727272727,0.11738934546889015,0.2174537079131335,0.3206387297870503,0.4332198286199459,0.47878787878787876,0.4121212121212121,0.34545454545454546,0.13333333333333333,0.8484848484848485,0.7272727272727273,0.45454545454545453,330,0.46060606060606063,0.1069265950561831,0.2001341162956982,0.29501960757447865,0.3945431549289256,0.4696969696969697,0.39090909090909093,0.30303030303030304,0.10606060606060606,0.9393939393939394,0.7878787878787878,0.5454545454545454
Baseline: core momentum avg 4/5/6M,test,0.1612157861998781,0.5566465429055176,99,0.494949494949495,0.12039853484009093,0.2494532450646952,0.37821433889822803,0.4766482647698223,0.5050505050505051,0.46464646464646464,0.3838383838383838,0.15151515151515152,0.7575757575757576,0.6666666666666666,0.42424242424242425,165,0.48484848484848486,0.12093083724145573,0.23067006831863338,0.37023037841245476,0.4753984794840891,0.49696969696969695,0.4303030303030303,0.36363636363636365,0.15151515151515152,0.8787878787878788,0.7272727272727273,0.5454545454545454,330,0.43636363636363634,0.10916692078517613,0.19304537968701552,0.28151492076381324,0.3882938655920267,0.44545454545454544,0.36363636363636365,0.2878787878787879,0.10909090909090909,0.9393939393939394,0.7878787878787878,0.6060606060606061
Baseline: liquid volatility score,test,0.227699380203715,0.8149222608798666,99,0.37373737373737376,0.07167756978346414,0.1282024780600146,0.18017697746898922,0.31935282261310766,0.3939393939393939,0.30303030303030304,0.2222222222222222,0.1111111111111111,0.696969696969697,0.3939393939393939,0.24242424242424243,165,0.3575757575757576,0.0749755616061151,0.11978834042401401,0.16941545910300593,0.29609834764203086,0.3696969696969697,0.2909090909090909,0.21212121212121213,0.09090909090909091,0.7878787878787878,0.5151515151515151,0.30303030303030304,330,0.3333333333333333,0.05925124375878201,0.11800665657797221,0.15420583775175156,0.273378292310983,0.34545454545454546,0.2727272727272727,0.20303030303030303,0.07878787878787878,0.8484848484848485,0.6060606060606061,0.3939393939393939
Baseline: dollar volume 3M,test,0.1005328648349221,0.5885704545297324,99,0.18181818181818182,0.046587738831585464,0.08856565633571643,0.11066328205063108,0.16902499081986963,0.20202020202020202,0.1111111111111111,0.06060606060606061,0.020202020202020204,0.5454545454545454,0.18181818181818182,0.06060606060606061,165,0.14545454545454545,0.035866455899828585,0.0725862563477637,0.0951596997374229,0.15795339578392983,0.17575757575757575,0.08484848484848485,0.048484848484848485,0.024242424242424242,0.6363636363636364,0.21212121212121213,0.09090909090909091,330,0.14545454545454545,0.03431349151800999,0.0669146122500324,0.09496811310775148,0.1571243136979683,0.1696969696969697,0.1,0.05454545454545454,0.01818181818181818,0.7878787878787878,0.3333333333333333,0.09090909090909091
